周,场景,周活跃用户数 (WAU)
2025-18,量房到店,5.0
2025-19,量房到店,53.0
2024-35,面访收房,0.0
2024-36,面访收房,0.0
2024-37,面访收房,0.0
2024-38,面访收房,0.0
2024-39,面访收房,0.0
2024-40,面访收房,0.0
2024-41,面访收房,0.0
2024-42,面访收房,0.0
2024-43,面访收房,0.0
2024-44,面访收房,0.0
2024-45,面访收房,0.0
2024-46,面访收房,0.0
2024-47,面访收房,0.0
2024-48,面访收房,0.0
2024-49,面访收房,0.0
2024-50,面访收房,0.0
2024-51,面访收房,0.0
2024-52,面访收房,0.0
2025-00,面访收房,0.0
2025-01,面访收房,0.0
2025-02,面访收房,0.0
2025-03,面访收房,0.0
2025-05,面访收房,0.0
2025-06,面访收房,0.0
2025-07,面访收房,0.0
2025-08,面访收房,0.0
2025-09,面访收房,0.0
2025-10,面访收房,0.0
2025-11,面访收房,0.0
2025-12,面访收房,0.0
2025-13,面访收房,0.0
2025-14,面访收房,0.0
2025-15,面访收房,0.0
2025-16,面访收房,0.0
2025-17,面访收房,8.0
2025-18,面访收房,30.0
2025-19,面访收房,27.0
2024-35,首通电话,0.0
2024-36,首通电话,1.0
2024-37,首通电话,0.0
2024-38,首通电话,1.0
2024-39,首通电话,0.0
2024-40,首通电话,0.0
2024-41,首通电话,0.0
2024-42,首通电话,0.0
2024-43,首通电话,1.0
2024-44,首通电话,0.0
2024-45,首通电话,0.0
2024-46,首通电话,0.0
2024-47,首通电话,0.0
2024-48,首通电话,0.0
2024-49,首通电话,0.0
2024-50,首通电话,0.0
2024-51,首通电话,0.0
2024-52,首通电话,0.0
2025-00,首通电话,0.0
2025-01,首通电话,0.0
2025-02,首通电话,0.0
2025-03,首通电话,0.0
2025-05,首通电话,0.0
2025-06,首通电话,0.0
2025-07,首通电话,0.0
2025-08,首通电话,0.0
2025-09,首通电话,0.0
2025-10,首通电话,0.0
2025-11,首通电话,0.0
2025-12,首通电话,0.0
2025-13,首通电话,0.0
2025-14,首通电话,0.0
2025-15,首通电话,0.0
2025-16,首通电话,0.0
2025-17,首通电话,0.0
2025-18,首通电话,0.0
2025-19,首通电话,1.0
